UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
1CM011,CFM International,CFM56-5C3,,MTF,6.7,29.9,144.57,1.373,1.131,0.37,0.1203,34.7,27.1,10.4,4.26,0.98,0.82,1.57,32.6,0.008,0.008,0.074,5.35,11.8,9.1,1,1.1,11.8,97.77,98.11,286,295,0.0061,0.0074
7CM046,CFM International,CFM56-5C3/P,SAC,MTF,6.7,29.2,143.33,1.316,1.085,0.355,0.112,31.6,25.1,9.6,4,0.8,0.7,1.9,33.4,0,0,0,5.4,11.6,9,1,1.1,11.6,97.77,98.11,286,295,0.0061,0.0074
2CM015,CFM International,CFM56-5C4,,MTF,6.6,31.15,151.25,1.456,1.195,0.386,0.124,37.67,29.05,10.67,4.28,1,0.85,1.4,30.93,0.008,0.008,0.065,5,12.6,9.8,1,1.1,12.6,97.77,98.11,286,295,0.0061,0.0074
7CM047,CFM International,CFM56-5C4/P,SAC,MTF,6.6,30.5,149.9,1.395,1.143,0.37,0.115,34.1,26.7,9.9,4.1,0.8,0.7,1.6,31.6,0,0,0,5,12,9.6,1,1.1,12,97.77,98.11,286,295,0.0061,0.0074
01P08CM102,CFM International,CFM56-5B1/3,Tech Insertion,TF,5.5,30.2,133.4,1.318,1.063,0.347,0.109,26.18,19.77,9.28,4.45,0.38,0.2,2.53,27.92,0.03,0.02,0.05,1.37,14.9,12.9,2.1,2.1,14.9,97.6,98.5,277,293,0.0015,0.00628
01P08CM103,CFM International,CFM56-5B2/3,Tech Insertion,TF,5.5,31.3,137.9,1.385,1.107,0.358,0.111,28.26,20.76,9.42,4.53,0.45,0.23,2.33,26.72,0.04,0.02,0.05,1.22,15.5,13.1,2.1,2.1,15.5,97.6,98.5,277,293,0.0015,0.00628
01P08CM104,CFM International,CFM56-5B3/3,Tech Insertion,TF,5.4,32.6,142.3,1.462,1.153,0.369,0.113,30.9,21.83,9.56,4.6,0.54,0.25,2.14,25.59,0.05,0.02,0.05,1.1,16,13.4,2.1,2.1,16,97.6,98.5,277,293,0.0015,0.00628
01P08CM105,CFM International,CFM56-5B4/3,Tech Insertion,TF,5.7,27.3,120.1,1.142,0.939,0.316,0.102,21.57,17.23,8.85,4.22,0.25,0.16,3.24,32.07,0.02,0.02,0.05,1.92,13.4,9.9,2.1,2.1,13.4,97.6,98.5,277,293,0.0015,0.00628
01P08CM106,CFM International,CFM56-5B5/3,Tech Insertion,TF,6,23.1,97.9,0.894,0.743,0.264,0.092,16.42,14.01,8.03,3.81,0.15,0.2,4.94,41.77,0.03,0.03,0.08,3.55,9.7,8,2.1,2.1,9.7,97.6,98.5,277,293,0.0015,0.00628
01P08CM107,CFM International,CFM56-5B6/3,Tech Insertion,TF,5.9,24.3,104.5,0.965,0.8,0.279,0.095,17.73,14.88,8.29,3.94,0.17,0.17,4.35,38.39,0.02,0.03,0.07,2.93,11.3,8.4,2.1,2.1,11.3,97.6,98.5,277,293,0.0015,0.00628
01P08CM108,CFM International,CFM56-5B7/3,Tech Insertion,TF,5.7,27.3,120.1,1.142,0.939,0.316,0.102,21.57,17.23,8.85,4.22,0.25,0.16,3.24,32.07,0.02,0.02,0.05,1.92,13.4,9.9,2.1,2.1,13.4,97.6,98.5,277,293,0.0015,0.00628
01P08CM109,CFM International,CFM56-5B8/3,Tech Insertion,TF,6,22.7,96.1,0.875,0.727,0.26,0.091,16.1,13.79,7.96,3.77,0.15,0.21,5.12,42.82,0.03,0.03,0.08,3.76,9.7,7,2.1,2.1,9.7,97.6,98.5,277,293,0.0015,0.00628
01P08CM110,CFM International,CFM56-5B9/3,Tech Insertion,TF,5.9,24.2,103.6,0.956,0.793,0.278,0.095,17.54,14.76,8.26,3.92,0.16,0.17,4.42,38.8,0.02,0.03,0.07,3.01,11.2,8.4,2.1,2.1,11.2,97.6,98.5,277,293,0.0015,0.00628
3CM029,CFM International,CFM56-7B18,,TF,5.5,21.59,86.74,0.854,0.714,0.26,0.097,19.2,16.6,9.1,4.3,0.6,0.4,3.6,28.3,0.1,0.1,0.1,3.5,10.7,6.4,0,0,10.7,97.8,98,294,297,0.01,0.0157
8CM061,CFM International,CFM56-7B18/3,Tech Insertion,TF,5.5,21.4,86.7,0.842,0.702,0.256,0.092,14.81,13,7.78,3.65,0.17,0.28,5.54,46.64,0.03,0.03,0.08,4.51,8,6.6,2.1,2.1,8.04,97.6,98.5,277,293,0.0015,0.00628
3CM030,CFM International,CFM56-7B20,,TF,5.4,22.61,91.63,0.913,0.761,0.274,0.1,20.5,17.4,9.5,4.3,0.6,0.5,3.2,25.9,0.1,0.1,0.1,3.1,11.4,8,0,0,11.4,97.8,98,294,297,0.01,0.0157
4CM039,CFM International,CFM56-7B20/2,,TF,5.4,22.77,91.63,0.903,0.754,0.278,0.102,13.25,10.81,9.39,3.75,4.26,11.38,11.37,49.71,0.07,0.23,0.36,8.11,0.7,0.7,1.5,0.7,1.52,97.9,98,292.8,296.7,0.00814,0.0131
8CM062,CFM International,CFM56-7B20/3,Tech Insertion,TF,5.5,22.4,91.6,0.896,0.746,0.268,0.094,15.61,13.53,7.98,3.77,0.15,0.23,5.03,43.31,0.03,0.03,0.08,3.84,8.7,6.8,2.1,2.1,8.66,97.6,98.5,277,293,0.0015,0.00628
3CM031,CFM International,CFM56-7B22,,TF,5.3,24.41,100.97,1.021,0.844,0.298,0.105,23.1,19,10,4.5,0.5,0.6,2.5,22.8,0.1,0.1,0.1,2.5,12,10.5,0,0,12,97.8,98,294,297,0.01,0.0157
4CM040,CFM International,CFM56-7B22/2,,TF,5.3,24.61,100.97,1.008,0.837,0.303,0.105,15.08,12.16,6.37,3.94,2.18,6.58,30.87,45.35,0.06,0.1,6.06,7.26,0.7,0.7,0.7,0.7,0.69,97.9,98,292.8,296.7,0.00814,0.0131
8CM063,CFM International,CFM56-7B22/3,Tech Insertion,TF,5.3,24.2,101,1.004,0.832,0.291,0.099,17.4,14.67,8.35,3.95,0.16,0.17,4.18,37.9,0.02,0.03,0.07,2.83,9.8,8,2.1,2.1,9.84,97.6,98.5,277,293,0.0015,0.00628
3CM032,CFM International,CFM56-7B24,,TF,5.2,25.78,107.65,1.103,0.91,0.316,0.109,25.3,20.5,10.1,4.4,0.4,0.6,2.2,22,0.1,0.1,0.1,2.4,12.6,11.4,0,0,12.6,97.8,98,294,297,0.01,0.0157
4CM041,CFM International,CFM56-7B24/2,,TF,5.2,25.95,107.65,1.089,0.902,0.313,0.109,16.63,13.23,6.72,4.08,1.38,4.3,30.32,42.72,0.05,0.07,6.01,6.55,0.7,0.7,0.7,0.7,0.65,97.9,98,292.8,296.7,0.00814,0.0131
8CM064,CFM International,CFM56-7B24/3,Tech Insertion,TF,5.3,25.6,107.6,1.086,0.895,0.308,0.103,18.93,15.6,8.6,4.09,0.18,0.15,3.68,34.71,0.02,0.03,0.06,2.3,12.1,8.7,2.1,2.1,12.07,97.6,98.5,277,293,0.0015,0.00628
8CM051,CFM International,CFM56-7B26,,TF,5.1,27.61,116.99,1.221,0.999,0.338,0.113,28.8,22.5,10.8,4.7,0.2,0.6,1.6,18.8,0.1,0.1,0.1,1.9,14.7,11.9,0,0,14.7,97.8,98,294,297,0.01,0.0157
4CM042,CFM International,CFM56-7B26/2,,TF,5.1,27.8,116.99,1.203,0.989,0.334,0.113,19.2,14.77,7.26,4.27,0.77,2.51,26.07,39.93,0.03,0.06,4.73,5.88,0.7,0.7,0.7,0.7,0.71,97.9,98,292.8,296.7,0.00814,0.0131
8CM065,CFM International,CFM56-7B26/3,Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,21.79,17.08,8.93,4.27,0.25,0.16,3.07,30.94,0.02,0.02,0.05,1.75,13.1,9.8,2.1,2.1,13.07,97.6,98.5,277,293,0.0015,0.00628
01P22FC001,CFM International,CFM56-7B26/3 (Research Measurement),Tech Insertion,TF,5.1,27.7,117,1.213,0.986,0.331,0.108,22.9,17.68,9.37,4.22,0.53,0.54,2.79,27.46,0,0,0.01,1.59,,,,,,96.61,96.87,294.7,302.9,0.0725,0.01011
3CM034,CFM International,CFM56-7B27,,TF,5,28.63,121.44,1.284,1.043,0.349,0.116,30.9,23.7,11,4.8,0.2,0.5,1.4,17.9,0.1,0.1,0.1,1.7,15.7,12.1,0,0,15.7,97.8,98,294,297,0.01,0.0157
4CM043,CFM International,CFM56-7B27/2,,TF,5,28.84,121.44,1.265,1.033,0.351,0.115,20.81,15.59,7.53,4.36,0.54,1.97,24.28,38.73,0.05,0.06,4.21,5.56,0.8,0.7,0.7,0.7,0.75,97.9,98,292.8,296.7,0.00814,0.0131
8CM066,CFM International,CFM56-7B27/3,Tech Insertion,TF,5.1,29,121.4,1.293,1.031,0.343,0.11,23.94,17.89,9.09,4.36,0.31,0.17,2.82,29.39,0.03,0.02,0.05,1.54,13.4,11.2,2.1,2.1,13.38,97.6,98.5,277,293,0.0015,0.00628
01P11CM111,CFM International,CFM56-7B20E,Tech Insertion,TF,5.5,22.4,91.6,0.896,0.746,0.268,0.094,15.61,13.5,8,3.8,0.15,0.23,5.03,43.31,0.03,0.03,0.08,3.84,8.7,6.8,2.1,2.1,8.66,97.6,98.5,277,293,0.0015,0.00628
01P11CM112,CFM International,CFM56-7B22E,Tech Insertion,TF,5.3,24.2,101,1.004,0.832,0.291,0.099,17.4,14.67,8.35,3.95,0.16,0.17,4.18,37.9,0.02,0.03,0.07,2.83,9.8,8,2.1,2.1,9.84,97.6,98.5,277,293,0.0015,0.00628
01P11CM113,CFM International,CFM56-7B22E/B1,Tech Insertion,TF,5.3,24.2,101,1.004,0.832,0.291,0.099,17.4,14.67,8.35,3.95,0.16,0.17,4.18,37.9,0.02,0.03,0.07,2.83,9.8,8,2.1,2.1,9.84,97.6,98.5,277,293,0.0015,0.00628
01P11CM114,CFM International,CFM56-7B24E,Tech Insertion,TF,5.3,25.6,107.6,1.086,0.895,0.308,0.103,18.93,15.6,8.6,4.09,0.18,0.15,3.68,34.71,0.02,0.03,0.06,2.3,12.1,8.7,2.1,2.1,12.07,97.6,98.5,277,293,0.0015,0.00628
01P11CM115,CFM International,CFM56-7B24E/B1,Tech Insertion,TF,5.3,25.6,107.6,1.086,0.895,0.308,0.103,18.93,15.6,8.6,4.09,0.18,0.15,3.68,34.71,0.02,0.03,0.06,2.3,12.1,8.7,2.1,2.1,12.07,97.6,98.5,277,293,0.0015,0.00628
