UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K)
medium-nominal-6,N/A,N/A,DAC,N/A,6.891825853841388,40.85828896980206,411.7685902247641,3.63738718158523,2.887253284731504,0.9094667732055547,0.30126858430661235,1222.1387123256184,43.30673552186082,13.697561448228146,17.360832732839757,40.489126181489404,51.091087644916186,29.50598926553766,8.963933507801602,71.86345899676247,152508851785765.1,237219920742854.28,424295657483971.75,370156218152988.6,496514430935611.9,43.957908400592004,55.81052362075317,34.60645466046511,11.764719903284032,263506062272069.44,429489484836657.06,1060311659320946.6,1284213567190809.5,99.37936269456851,100.1319839247285,291.0090852024281,295.694077362385
super-nominal-6,N/A,N/A,LEC,N/A,6.765661181372864,34.42112623939064,297.8002213336918,2.5279172258154046,2.1133965496657967,0.6858611120146668,0.22576657613732587,901.9433933616091,43.16294024975729,13.69979867750551,17.649396032516535,49.286715934348834,46.937923509382045,31.147251951293484,3.895432925418785,69.60178909373963,237991357208687.78,297335867240597.0,524468975587046.2,239588276650944.2,686648092378298.5,54.75566818532418,52.944068765767625,36.82042704810543,5.4426518409179545,454732458107614.8,733754289347559.2,1378160466204954.2,814505735143532.4,98.6625406980558,99.12815619180758,280.7166452335065,288.6578515772851
light-low-5,N/A,N/A,TAPS II,N/A,10.742583509222717,34.131089091614555,124.31091569387745,0.8938452126647648,0.7360560420105234,0.2503084962243685,0.09224605490813284,338.67878068398426,43.26000017260228,13.690002589034245,16.499970657611897,1.6227556653566058,1.1285065313018054,2.4387051546665193,0.5819805957577953,7.592471337424144,104351547833.78151,78772221725.1295,82195144773300.47,4987266583876.043,218670386975389.62,1.9480442659627175,1.3007035766799067,3.657106010434948,0.6978836610065831,140325561597.5812,103277515702.87737,533230120526279.6,16642494656312.85,97.80000379725023,98.79998895345389,274.60027616365284,279.8002882458126
light-nominal-5,N/A,N/A,Tech Insertion,N/A,5.334061728441856,27.62496836017076,126.35664835412602,1.264904099559638,1.0293399720504186,0.3449814315694692,0.11121405068185174,445.34038865102383,43.26612093873009,13.818362816190259,18.622418774601723,58.70303939755163,38.96941059883535,1.499772325316952,0.7974350483986972,58.70303939755163,399936851891165.06,414994306789046.25,61585839006466.81,34098392035137.934,420407930090570.3,68.7445176499517,47.559756332045815,2.3056405009902723,1.2253317707253568,1071923634242032.1,1291750350005621.8,349145007771791.75,202198832985371.78,99.37910259042101,100.04289801856847,294.80823407353205,310.42939835129715
light-high-5,N/A,N/A,Floatwall,N/A,5.532051293230974,29.78846803774333,121.20550784690458,1.142594356027075,0.935755300915578,0.3413583912103081,0.13227358573847234,459.78147032933566,43.225624840131246,13.831124968026248,16.453754156587443,174.21804935557842,254.91418608760048,244.55997866228623,60.327316723247215,406.9265029163778,875955604022956.4,1153924141591189.0,2287090836681066.5,1440145468745844.0,2657471998779285.0,198.7031276270445,289.1568986715995,292.53984840381275,81.62133327664255,2228693989439248.2,2869797758302338.5,7115993405812520.0,6815626147086734.0,100.87762535171123,101.77749552367507,274.77627909611203,278.08750319737493
medium-low-5,N/A,N/A,TAPS,N/A,8.584999752000666,45.16718670365667,324.1130967658452,2.566990655993537,2.094460928240997,0.6579047585093137,0.20654461503740956,864.389191673598,43.15346391,13.793333330000001,17.68333333,1.8186782729694317,1.6634440844547238,3.746230544671523,2.271780898428374,6.8732173009999995,78673196889.6429,77811220580.49411,93377025499974.61,19234534480264.246,191000000000000.0,2.4619029593187896,2.2310131892193428,5.299245993795432,2.791943124107065,108559528654.05194,107456444606.27678,506316556638657.0,62818625859634.25,97.40000000000002,98.2,289.9,297.9
medium-nominal-5,N/A,N/A,DAC,N/A,6.871132449697286,39.802471938651884,393.0756116677483,3.4554130224860455,2.760326072422171,0.8727911949680213,0.2888848199915414,1169.6205944505462,43.283150364293114,13.697928396349944,17.40816259836021,41.93209810610124,50.40988979252341,29.775187539495477,8.1326030814334,71.49250214784362,166529607337666.78,247080078519535.78,440725985525918.4,348740594199783.1,527699965052644.0,45.72894622524245,55.34037054529668,34.96958821033227,10.72778058515836,294870825597810.6,479394695569408.4,1112444904617582.6,1207172555566663.0,99.26179026337215,99.96733709799044,289.32092943157284,294.54000260459924
light-low-4,N/A,N/A,TAPS II,N/A,10.742583509222717,34.131089091614555,124.31091569387745,0.8938452126647648,0.7360560420105234,0.2503084962243685,0.09224605490813284,338.67878068398426,43.26000017260228,13.690002589034245,16.499970657611897,1.6227556653566058,1.1285065313018054,2.4387051546665193,0.5819805957577953,7.592471337424144,104351547833.78151,78772221725.1295,82195144773300.47,4987266583876.043,218670386975389.62,1.9480442659627175,1.3007035766799067,3.657106010434948,0.6978836610065831,140325561597.5812,103277515702.87737,533230120526279.6,16642494656312.85,97.80000379725023,98.79998895345389,274.60027616365284,279.8002882458126
light-nominal-4,N/A,N/A,Tech Insertion,N/A,5.383367165595071,28.163745732085154,125.07385734028293,1.2344452449255876,1.0060345360994993,0.3440791840751507,0.1164585168905436,448.9366582113557,43.25603617569451,13.821540981039297,18.08235517506912,87.46979824064972,92.7462425635251,62.02917315893914,15.622190296403048,145.42129706981677,518480032144046.25,599010361217360.9,615804425798583.0,384246976123706.2,977505077932320.9,101.10817319699858,107.72480963021813,74.5828057784014,21.24638694018273,1359994715713561.0,1684732259923149.5,2034296539723990.5,1849143838143052.2,99.75228043900184,100.4748656748702,289.81966662934764,302.3752805465226
medium-low-4,N/A,N/A,TAPS,N/A,8.584999752000666,45.16718670365667,324.1130967658452,2.566990655993537,2.094460928240997,0.6579047585093137,0.20654461503740956,864.389191673598,43.15346391,13.793333330000001,17.68333333,1.8186782729694317,1.6634440844547238,3.746230544671523,2.271780898428374,6.8732173009999995,78673196889.6429,77811220580.49411,93377025499974.61,19234534480264.246,191000000000000.0,2.4619029593187896,2.2310131892193428,5.299245993795432,2.791943124107065,108559528654.05194,107456444606.27678,506316556638657.0,62818625859634.25,97.40000000000002,98.2,289.9,297.9
