ICAO,Manufacturer,Type,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_o,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,TET_max_climb_K,FL_max,MMO,vcas_asl_asl_isa,pi_max_pa,pinf_co_pa
B788,Boeing,B787-8,2,no,1,227930,172365,161025,117707,43318,0.706,0.516,0.190,360,60.12,5.77,0.018,0.8462,10.04,6.383,0.968,0.785,0.873,0.077,0.518,8.148,633.0,4.82,0.45,0.815,0.0238,0.410,0.445,0.764,6.149,1688,431.0,0.900,0.5700,24977,36141
B789,Boeing,B787-9,2,no,1,254011,192777,181437,128850,52587,0.714,0.507,0.207,360,60.12,5.77,0.018,0.8462,10.04,6.478,0.968,0.785,0.873,0.077,0.518,8.108,633.0,4.82,0.45,0.815,0.0238,0.408,0.445,0.764,6.215,1706,431.0,0.900,0.5700,24977,36141
E135,Embraer,EMB-135LR,2,no,0,20000,18500,15999,11500,4499,0.800,0.575,0.225,51.18,20.04,2.25,0.025,0.9239,7.85,8.018,1.012,0.709,0.869,0.074,0.562,3.429,66.1,0.72,0.09,0.704,0.0370,0.273,0.541,0.680,6.609,1600,370.0,0.780,0.5016,18996,38408
E145,Embraer,EMB-145LR,2,no,0,22000,19300,17900,12114,5786,0.814,0.551,0.263,51.18,20.04,2.25,0.025,0.9239,7.85,8.380,1.018,0.706,0.868,0.073,0.570,3.686,74.3,0.82,0.10,0.704,0.0382,0.299,0.543,0.678,6.404,1600,370.0,0.780,0.5016,18996,38408
E170,Embraer,EMB-170LR,2,no,0,37200,32800,29800,20700,9100,0.801,0.556,0.245,72.72,25.3,3.15,0.031,0.9239,8.80,8.144,1.005,0.742,0.870,0.074,0.579,4.094,120.1,1.32,0.13,0.733,0.0355,0.296,0.533,0.688,6.314,1649,410.0,0.820,0.5244,20883,37618
E195,Embraer,EMB-195STD,2,no,0,48790,45000,42500,28700,13800,0.871,0.588,0.283,92.53,27.73,3,0.023,0.9239,8.31,8.034,1.001,0.765,0.871,0.075,0.560,4.200,162.0,1.67,0.17,0.758,0.0344,0.299,0.534,0.687,6.264,1661,410.0,0.820,0.5244,20883,37618
MD82,Boeing,MD-82,2,no,0,67812,58967,55338,35369,19969,0.816,0.522,0.294,112.3,32.85,3.35,0.021,0.9239,9.61,8.956,1.035,0.715,0.866,0.072,0.612,4.023,185.5,2.62,0.27,0.720,0.0376,0.302,0.611,0.583,5.328,1462,370.0,0.840,0.5358,21866,37237
MD83,Boeing,MD-83,2,no,0,72575,63276,55338,36145,19193,0.762,0.498,0.264,112.3,32.85,3.35,0.021,0.9239,9.61,8.856,1.031,0.716,0.867,0.072,0.607,3.903,193.0,2.71,0.27,0.720,0.0368,0.289,0.611,0.582,5.312,1497,370.0,0.840,0.5358,21866,37237
GLF5,Gulfstream,G-550,2,no,0,41277,34155,23587,22882,705,0.571,0.554,0.017,105.56,28.5,2.5,0.015,0.9063,7.69,6.702,0.995,0.765,0.873,0.077,0.508,5.514,137.5,1.49,0.17,0.772,0.0293,0.368,0.558,0.659,6.331,1600,510.0,0.885,0.5615,24176,36409
CRJ9,Bombardier,CRJ-9,2,no,0,38329,34065,32092,21350,10742,0.837,0.557,0.280,76.15,23.25,2.69,0.027,0.8988,7.10,7.351,1.001,0.739,0.872,0.076,0.504,4.130,120.9,1.33,0.13,0.753,0.0316,0.301,0.533,0.688,6.159,1629,410.0,0.850,0.5415,22367,37050
DC93,Boeing,DC-9-32,2,no,0,48988,44906,39463,25789,13674,0.806,0.526,0.279,93,28.44,3.35,0.028,0.9135,8.70,7.952,1.030,0.719,0.868,0.074,0.565,3.289,130.5,2.13,0.27,0.733,0.0343,0.242,0.627,0.556,4.673,1244,370.0,0.840,0.5358,21866,37237
RJ1H,BAESystems,RJ-100,4,no,0,44225,40142,37421,25640,11781,0.846,0.580,0.266,77.3,26.34,3.5,0.035,0.9659,8.98,9.769,1.008,0.689,0.869,0.073,0.621,3.251,124.0,1.43,0.18,0.650,0.0414,0.273,0.534,0.688,5.790,1529,350.0,0.734,0.4754,16955,39369
B722,Boeing,727-200,3,no,0,83820,70100,63560,44390,19170,0.758,0.530,0.229,157.9,32.92,3.76,0.026,0.8480,6.86,7.902,1.058,0.687,0.865,0.072,0.499,3.423,203.8,3.41,0.42,0.770,0.0328,0.265,0.627,0.557,4.896,1244,420.0,0.900,0.5700,24977,36141
A20N,Airbus,A320-NEO,2,yes,54,79000,66300,62800,43600,19200,0.795,0.552,0.243,122.4,35.1,3.59,0.021,0.9063,10.07,7.531,0.956,0.786,0.873,0.076,0.598,6.521,255.8,1.77,0.18,0.753,0.0303,0.368,0.385,0.787,6.316,1711,410.0,0.820,0.5244,20883,37618
A21N,Airbus,A321-NEO,2,yes,52,93500,77300,73000,48000,25000,0.781,0.513,0.267,122.4,35.27,3.95,0.025,0.9063,10.16,8.035,0.960,0.785,0.872,0.075,0.610,5.857,255.8,1.77,0.18,0.753,0.0316,0.339,0.385,0.787,6.469,1719,391.0,0.820,0.5244,20883,37618
