origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Middle East,Middle East,1000.0,1500.0,2000.0,170516.21608354145,1705162.1608354147,101896.35894,178765.542
Middle East,Middle East,2000.0,2500.0,3000.0,83174.84019594803,831748.4019594801,58659.4296,102911.28
Middle East,North America,10000.0,10500.0,11000.0,36097.283263536,132055.62103397652,11875.274423912,17773.54
Middle East,North America,11000.0,11500.0,12000.0,44921.324417934324,186992.7620809414,5301.965768574842,8276.24
North America,Asia Pacific,6000.0,6500.0,7000.0,12401.281937048001,154097.33299592428,136474.643723288,282757.378
North America,Asia Pacific,7000.0,7500.0,8000.0,17344.102550360964,65619.07806862512,127756.7205372271,216868.033
North America,Asia Pacific,8000.0,8500.0,9000.0,88134.72802363131,277488.2372837375,324818.122665573,606423.679
North America,Asia Pacific,9000.0,9500.0,10000.0,63537.041834056006,276325.5503422522,83685.2291575575,159599.897
North America,Asia Pacific,10000.0,10500.0,11000.0,191952.15283309363,765282.9643711889,179013.61507544672,334495.075
North America,Asia Pacific,11000.0,11500.0,12000.0,101541.40572234712,538434.9546051272,70362.01923257297,172570.058
North America,Asia Pacific,12000.0,12500.0,13000.0,65349.39911682987,379066.91264483053,18100.499458858096,32233.298
North America,Asia Pacific,13000.0,13500.0,14000.0,10058.710568032,92372.83810349209,3682.66716,5415.687
North America,Europe,4000.0,4500.0,5000.0,2689.422758423894,28544.934750946362,1131.3075539941851,2033.807
North America,Europe,5000.0,5500.0,6000.0,185841.3203954885,985976.0119518652,99990.51543474503,155314.739
North America,Europe,6000.0,6500.0,7000.0,242342.7109368585,939578.6155950016,279923.54098526225,502522.586
North America,Europe,7000.0,7500.0,8000.0,165251.9196896768,753883.066467454,347167.9861187852,623319.668
North America,Europe,8000.0,8500.0,9000.0,119751.01062012666,488045.55276523624,91359.88038873671,141453.566
North America,Europe,9000.0,9500.0,10000.0,43081.49162603043,206697.80188420802,66872.73777130705,101889.26
North America,Latin America,0.0,500.0,1000.0,868.88847448,92737.22078490446,15680.784529753104,34681.8329
North America,Latin America,1000.0,1500.0,2000.0,9855.104970906666,386547.41696459235,194267.07587838222,303214.403
North America,Latin America,2000.0,2500.0,3000.0,21067.941450934268,536970.4674098691,287534.6856796598,551733.339
North America,Latin America,3000.0,3500.0,4000.0,12403.816619296436,235740.60510940404,66371.24826599004,126078.453
North America,Latin America,4000.0,4500.0,5000.0,9844.716021494449,45698.37264186452,18552.549691736,30181.304
North America,Latin America,5000.0,5500.0,6000.0,4538.871515714414,17411.53795667262,4047.614955433287,8786.234
North America,Latin America,6000.0,6500.0,7000.0,47906.33295177677,119621.33253235444,91840.46000067555,149760.582
North America,Latin America,7000.0,7500.0,8000.0,28017.528184659353,80920.40689900436,19365.820869984313,28009.7
North America,Latin America,8000.0,8500.0,9000.0,26325.977238746367,87017.74593357224,1559.670886727999,5066.149
North America,Middle East,10000.0,10500.0,11000.0,32001.363307832,136107.67944656432,21319.66219809459,31016.809
North America,Middle East,11000.0,11500.0,12000.0,41034.241325992,190664.1639596478,55978.34434649131,102743.943
North America,North America,0.0,500.0,1000.0,175342.71777320735,4532102.624813989,3670636.649642251,8187693.727
North America,North America,1000.0,1500.0,2000.0,246259.6522270004,6551618.247003805,3866008.087385817,7765028.61
North America,North America,2000.0,2500.0,3000.0,178427.60530740768,2561982.021553053,2056813.8036683854,4026445.219
North America,North America,3000.0,3500.0,4000.0,206771.8383062447,2190977.8652890767,1210028.1137404968,2373231.537
North America,North America,4000.0,4500.0,5000.0,93644.24344565527,818860.1335470156,1086522.7020950874,1734767.338
North America,North America,5000.0,5500.0,6000.0,5266.506573048,64988.50617375554,784460.3884830549,1143264.21
North America,North America,6000.0,6500.0,7000.0,17668.396776968002,81109.32894958075,168279.477010152,230393.45400000003
